hist_x,sound_ac,sound_m2,sound_mpfc,choice_ac,choice_m2,choice_mpfc,priorval_ac,priorval_m2,priorval_mpfc
-600,0.0427738172391445,0.0448504983388704,0.0587703435804702,0.0375891121192482,0.0340531561461794,0.0470162748643761,0.0369410239792612,0.0182724252491694,0.0298372513562387
-590,0.0907323395981854,0.0730897009966777,0.069620253164557,0.0816591056383668,0.0573089700996678,0.054249547920434,0.0732339598185353,0.0573089700996678,0.04249547920434
-580,0.160725858716785,0.132059800664452,0.141952983725136,0.152948801036941,0.112956810631229,0.118444846292948,0.132209980557356,0.0897009966777409,0.10126582278481
-570,0.156837329876863,0.210963455149502,0.170886075949367,0.190537913156189,0.149501661129568,0.177215189873418,0.154893065456902,0.132890365448505,0.120253164556962
-560,0.116655865197667,0.168604651162791,0.179023508137432,0.142579390797148,0.169435215946844,0.181735985533454,0.136746597537265,0.141196013289037,0.132007233273056
-550,0.085547634478289,0.100498338870432,0.128390596745027,0.0991574854180168,0.102159468438538,0.129294755877034,0.0926766040181465,0.104651162790698,0.103978300180832
-540,0.051198963058976,0.0813953488372093,0.0786618444846293,0.068049254698639,0.0822259136212625,0.0732368896925859,0.0622164614387557,0.0963455149501661,0.0795660036166365
-530,0.0492546986390149,0.0573089700996678,0.0406871609403255,0.0499027867790019,0.0647840531561462,0.0524412296564195,0.0382372002592353,0.063953488372093,0.054249547920434
-520,0.0233311730395334,0.0257475083056478,0.0316455696202532,0.0369410239792612,0.0415282392026578,0.0280289330922242,0.0324044069993519,0.0465116279069767,0.0533453887884268
-510,0.0265716137394686,0.0149501661129568,0.00904159132007233,0.01749837977965,0.0240863787375415,0.0189873417721519,0.0246273493195075,0.0332225913621262,0.0343580470162749
-500,0.0220349967595593,0.0124584717607973,0.0144665461121157,0.016850291639663,0.0191029900332226,0.0226039783001808,0.0246273493195075,0.0224252491694352,0.0253164556962025
-490,0.0129617627997408,0.010797342192691,0.00994575045207957,0.01749837977965,0.0182724252491694,0.015370705244123,0.0181464679196371,0.0166112956810631,0.0198915009041591
-480,0.0136098509397278,0.010797342192691,0.00994575045207957,0.00712896953985742,0.0141196013289037,0.00723327305605787,0.0136098509397278,0.0240863787375415,0.0171790235081374
-470,0.0155541153596889,0.00913621262458472,0.00994575045207957,0.0103694102397926,0.00830564784053156,0.00994575045207957,0.0136098509397278,0.01578073089701,0.0198915009041591
-460,0.0136098509397278,0.00664451827242525,0.0027124773960217,0.0084251458198315,0.010797342192691,0.0054249547920434,0.00972132209980557,0.0174418604651163,0.00904159132007233
-450,0.0084251458198315,0.00332225913621262,0.0054249547920434,0.00648088139987038,0.00747508305647841,0.0054249547920434,0.00907323395981854,0.00913621262458472,0.00994575045207957
-440,0.0103694102397926,0.00332225913621262,0.00361663652802893,0.00518470511989631,0.00913621262458472,0.00452079566003617,0.00712896953985742,0.00830564784053156,0.0081374321880651
-430,0.00259235255994815,0.00332225913621262,0.00361663652802893,0.00453661697990927,0.00332225913621262,0.00452079566003617,0.00453661697990927,0.00913621262458472,0.011754068716094
-420,0.00518470511989631,0.000830564784053156,0.0027124773960217,0.00324044069993519,0.00747508305647841,0.0027124773960217,0.00777705767984446,0.00664451827242525,0.0126582278481013
-410,0.00518470511989631,0.00166112956810631,0.000904159132007233,0.00259235255994815,0.00581395348837209,0.00452079566003617,0.00777705767984446,0.00581395348837209,0.0081374321880651
-400,0.00388852883992223,0.00332225913621262,0,0.00194426441996111,0.00498338870431894,0.0054249547920434,0.00648088139987038,0.00332225913621262,0.0144665461121157
Inf,0.0829552819183409,0.0249169435215947,0.0280289330922242,0.0388852883992223,0.053156146179402,0.0316455696202532,0.0933246921581335,0.0772425249169435,0.0922242314647378
